# Simulation 9 (Data loaded from a file)
# 493 data points written for 54 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,0.001,0.23,22.966,0.23,22.966,0,0,0,0,0,0,28.590593977,-80.6151617749,9.792,84.3966832228,0,0,0,5139,511,0.981,0.006,NaN,85.9,NaN,0.007,2.684e5,168.344,3.791e-5,0.643,0.001,0.464,0.149,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.94e-5,10,80,90.0116696151,0,2.338,15,1013,340.389,0.01,0.006
0.02,0.008,1.115,88.519,1.115,88.519,0,0,0,0,0,0,28.590593977,-80.6151617749,9.792,64.6869350703,0,0,0,5137,510,0.98,0.006,NaN,85.9,NaN,0.008,2.981e5,505.031,0.003,0.632,0.101,0.453,0.149,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.427e-4,10,80,90.0116696151,0,2.36,15,1013,340.389,0.01,0.007
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.026,2.533,141.937,2.533,141.937,0,0,0,0,0,0,28.590593977,-80.6151617749,9.792,43.2010177529,0,0,0,5134,507,0.979,0.006,NaN,85.9,NaN,0.01,3.972e5,779.013,0.025,0.604,0.429,0.425,0.149,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.244e-4,10,80,90.0116696151,0,2.381,15,1013,340.389,0.01,0.007
0.04,0.059,3.985,145.196,3.985,145.196,0,0,0,0,0,0,28.590593977,-80.6151617749,9.792,31.1116082756,0,0,0,5130,503,0.977,0.006,NaN,85.8,NaN,0.014,5.316e5,795.21,0.065,0.578,0.624,0.399,0.149,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.102e-4,10,80,90.0116696151,0,2.403,15,1013,340.389,0.01,0.008
0.05,0.106,5.415,143.021,5.415,143.021,0,0,0,0,0,0,28.590593977,-80.6151617749,9.792,24.121523175,0,0,0,5127,499,0.976,0.006,NaN,85.8,NaN,0.017,6.778e5,783.539,0.117,0.558,0.69,0.379,0.149,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.933e-4,10,80,90.0116696151,0,2.424,14.999,1013,340.388,0.01,0.008
0.06,0.167,6.823,140.842,6.823,140.842,0,0,0,0,0,0,28.590593977,-80.6151617749,9.792,19.5951565935,0,0,0,5123,495,0.975,0.006,NaN,85.7,NaN,0.021,8.275e5,771.867,0.177,0.543,0.701,0.364,0.149,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.735e-4,10,80,90.0116696151,0,2.431,14.999,1013,340.388,0.01,0.009
0.07,0.242,8.209,138.657,8.209,138.657,0,0,0,0,0,0,28.590593977,-80.6151617749,9.792,16.5584802793,0,0,0,5119,492,0.973,0.006,NaN,85.7,NaN,0.025,9.783e5,760.195,0.243,0.531,0.69,0.352,0.149,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,10,80,90.0116696151,0,2.438,14.998,1013,340.388,0.01,0.009
0.08,0.331,9.574,136.591,9.574,136.591,0,0,0,0,0,0,28.590593977,-80.6151617749,9.792,14.3239448783,0,0,0,5116,488,0.972,0.006,NaN,85.6,NaN,0.029,1.129e6,749.168,0.314,0.521,0.668,0.342,0.149,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,10,80,90.0116696151,0,2.446,14.998,1013,340.388,0.01,0.01
0.09,0.433,10.924,135.037,10.924,135.037,0,0,0,0,0,0,28.590593977,-80.6151617749,9.792,12.6623672724,0,0,0,5112,485,0.971,0.006,NaN,85.6,NaN,0.033,1.279e6,740.786,0.387,0.513,0.642,0.334,0.149,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,10,80,90.0116696151,0,2.453,14.997,1013,340.387,0.01,0.01
